Gene	Length		a1	a2	a3	a4	a5	a6	a7	ab8	b1	b2	b3	b4	b6
Gr59e	1325		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr59f	1375		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30185	877		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wmd	3328		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
levy	743		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pita	5745		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dcp-1	2234		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rrp4	1199		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ItgaPS5	3591		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pi3K59F	3553		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30184	807		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apt	34635		NA	NA	NA	NA	0000001752	NA	NA	0000006535	0000001752	NA	NA	NA	NA
CG43209	475		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5398	1056		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17664	13032		0000011582	0000011582	0000006536;0000001753;0000011582	NA	NA	NA	0000011582	NA	NA	0000011582	NA	NA	NA
CG17662	965		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4019	7118		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
retn	22210		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000006539	NA
CR45153	717		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pde8	23277		NA	NA	0000006540;0000001756	NA	0000001756	0000006541	0000001756	0000001756;0000006542	0000001756	NA	NA	NA	NA
St1	1329		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St3	4603		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(2)efl	892		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pal2	2761		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30183	7577		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
angel	1229		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRpL43	909		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sigmar	3457		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(2)dtl	2926		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(2)not	4353		NA	NA	NA	NA	NA	NA	NA	NA	NA	00237056262R	NA	NA	NA
l(2)tid	2113		NA	NA	NA	NA	NA	NA	NA	NA	NA	00237056262R	NA	NA	NA
CR45326	770		NA	NA	NA	NA	NA	NA	NA	NA	NA	00237056262R	NA	NA	NA
Sesn	20946		NA	NA	NA	0000006543	NA	NA	NA	NA	NA	0000011583;0000018124	0000011583;0000018124	NA	NA
CG18128	1138		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45325	687		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-4979	108		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
egl	11925		NA	NA	NA	NA	NA	NA	0000006544	NA	NA	NA	00237460132R	NA	NA
CG13560	917		NA	NA	NA	NA	NA	NA	0000001757	NA	NA	NA	00237460132R	NA	NA
CG34105	573		0000012361;0000001758	NA	0000012363;0000001758	NA	0000012364	NA	0000012363;0000001758	0000012363;0000001758	NA	NA	0000018125	0000012362	NA
CG12491	579		0000001758	NA	0000001758	NA	0000012364	NA	0000001758	0000001758	0000001760	NA	NA	NA	NA
CG11300	580		NA	NA	NA	NA	NA	NA	NA	NA	0000001760	NA	NA	NA	NA
CG5532	761		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG9850	44918		NA	NA	0000006545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15800	613		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30177	1528		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13561	1934		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5539	1333		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ssrp	2643		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5543	2162		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nxt1	653		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4797	6142		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44807	2586		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5549	19510		NA	0000006546	NA	0000006546	0000006546	0000006546	NA	NA	0000006546	0000006546	0000006546	NA	0000006546
CG4763	1511		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Psi18S-176	153		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44805	200		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
shu	1825		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snap29	1280		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5554	2023		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ytr	4319		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eIF6	1055		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45928	1170		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbb	1685		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bgcn	5651		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pym	982		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBPH	3526		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4585	2436		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5569	1240		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thiolase	1955		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ken	7169		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM4SF	2663		NA	NA	0000000210	NA	0000000210	NA	0000006547	NA	0000000210	NA	0000006548	NA	0000006549
CG4882	2110		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHDP	1304		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5597	1804		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCP1	1512		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA-ligI	2665		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Upf3	1921		NA	NA	NA	00238932802R	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17658	1934		NA	NA	NA	0000018126	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5339	1350		NA	NA	NA	0000018126	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lpt	5100		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13562	1519		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nap1	2119		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45926	1366		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kcc	17412		0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211	0000000211
CR44806	401		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERCA	10807		NA	NA	0000006550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2812	1675		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3735	2677		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Taldo	1704		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galphas	4398		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orcokinin	2117		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2970	3258		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fzr2	1449		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3803	1535		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thoc5	2315		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16787	1070		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-catenin-related	3789		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13566	1100		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fmo-1	1685		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alas	1985		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34213	621		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
or	1004		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG10904	1132		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3065	1928		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mr	2977		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gadd34	1656		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sox14	6376		NA	NA	NA	NA	00239834652R	NA	NA	NA	NA	NA	NA	NA	NA
Phm	3280		NA	NA	NA	NA	0000011586;0000018127	NA	NA	NA	NA	NA	NA	NA	NA
CG30178	693		NA	NA	NA	NA	0000011586;0000018127	NA	NA	NA	NA	NA	NA	NA	NA
Pask	3311		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3860	2917		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000006551	NA
mir-1009	60		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unc-89	18711		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4324	2281		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3121	2475		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3907	2400		NA	NA	0000006552	NA	NA	NA	NA	NA	0000006552	NA	NA	NA	NA
CG11388	1638		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45350	1679		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adk2	1670		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EbpIII	1346		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPC300	1072		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3163	1238		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30172	881		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chi	2405		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAN1	2733		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Not11	1195		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IntS1	6515		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tsr	2352		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gammaSnap1	1758		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sei	5624		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppk29	4220		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13563	2293		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eIF-5A	1685		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44814	436		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpL12	1482		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpL39	578		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rap2l	2354		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yki	2510		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3209	4795		NA	NA	NA	NA	0000006554	NA	NA	NA	NA	NA	NA	NA	NA
Mlp60A	3621		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG10339	2293		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13564	499		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16786	4505		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snama	5410		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gek	6557		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
enok	7822		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4049	7205		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3253	1961		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3257	6471		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43775	3463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43776	3463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43777	3463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tamo	6913		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zfrp8	1416		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4065	2870		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44826	498		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dat	18199		0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212	0000000212
spag	2119		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3328	11171		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRpS17	776		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nop60B	11466		0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213	0000000213
snoRNA:Psi18S-1820	139		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me28S-G1083a	83		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me28S-G1083b	82		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me28S-G1083c	82		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me28S-G1083d	82		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Or-CD9a	97		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Or-CD9b	90		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ocm	8587		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cN-IIIB	1529		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3356	4363		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11406	6112		NA	NA	0000006555	NA	NA	NA	0000001763	NA	NA	NA	NA	NA	NA
CG30419	17304		NA	NA	0000006557	NA	NA	NA	NA	0000001765	NA	NA	NA	NA	NA
CR44827	1000		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nord	11839		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir60a	2248		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me18S-A1597	115		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13575	2087		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3376	7200		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13577	1802		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nvy	15350		0000011588	0000011588	0000011588	0000011588	0000011588	0000011588	0000011588	0000011588	0000011588;0000006561	0000011588	0000011588	0000011588	0000011588
CG3394	4014		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-4985	100		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
betaTub60D	7218		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44810	5250		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
slbo	2785		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44282	1191		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bs	33612		0000000214	0000000214	0000000214;0000006563;0000006564	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214
CG44812	420		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44811	18212		0000000214	0000000214	0000000214;0000006563	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214	0000000214
tRNA:N5:60C	73		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13578	909		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mAChR-A	11664		NA	NA	0000001772	0000001773	0000006565	NA	NA	NA	NA	NA	NA	NA	NA
CR44813	1200		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Slik	10551		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rpn8	4499		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SerT	6479		0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589	0000011589
prom	12977		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000006566
CG42383	1176		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15873	1121		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pgam5-2	1389		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3483	1339		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4563	1956		NA	NA	NA	NA	NA	NA	NA	NA	0000006568	NA	NA	NA	NA
CG13579	35364		NA	NA	0000006575	NA	NA	NA	0000001775	NA	0000006572;0000006574	0000006570;0000006573	NA	NA	0000006571
CG3492	1514		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3494	962		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16837	646		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13589	641		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000018129	NA	NA
CG13590	692		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crtp	2506		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yu	586		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ssl	1024		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prosalpha4T2	1497		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13581	836		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Letm1	5812		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir60b	1773		NA	0000001776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir60c	1328		0000011590	0000011590	0000011590	0000011590	NA	0000011590	0000011590	0000011590	0000011590	NA	NA	0000011590	NA
Ir60d	1724		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir60f	460		0000011593	0000011591	0000011593	0000011592	0000011593	0000011593	0000011592	0000011593	0000011593	0000011592	0000011593	0000011593	0000011592
CG4612	4215		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brca2	3409		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ir60e	1718		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13585	1797		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4622	22926		NA	NA	NA	0000006577	0000006579	NA	0000001777	NA	0000006578	NA	0000006580	NA	NA
CG11413	601		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITP	21540		NA	NA	NA	0000006577	0000006579	NA	0000001777	NA	0000006578	NA	0000006580	NA	NA
Nurf-38	2120		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11414	3451		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uri	2528		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fcp1	3834		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3511	2876		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Start1	3117		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIFa	577		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4681	1580		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pio	16617		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13587	1096		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATPsynF	733		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3548	2420		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3565	1016		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3570	1098		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4707	2428		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42360	3580		NA	0000006581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42361	1115		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4741	4357		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adck	2203		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13594	23165		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me18S-G393	117		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43787	2031		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyp9c1	1860		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3640	1068		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4781	1556		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3663	906		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cpr60D	724		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG30161	845		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ND-19	1041		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34214	595		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4806	2185		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33228	919		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pof	2180		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mmp1	16890		NA	NA	NA	NA	NA	NA	0000001780	NA	NA	NA	NA	NA	NA
p130CAS	21633		NA	0000006613	NA	NA	0000001793	NA	NA	0000006614	NA	NA	0000011596	NA	NA
CG7049	1116		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45806	966		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vdup1	2657		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13875	2612		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mtch	1684		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rno	12555		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mri	1978		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gk1	3746		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NitFhit	1579		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13876	1393		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG7028	4273		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thoc7	1051		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16940	3770		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kaz1-ORFB	1433		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kaz1-ORFA	306		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pyx	5137		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13877	595		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33229	1753		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR42862	6858		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42846	633		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34454	669		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34453	871		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E(bx)	12986		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
